epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,17413.5,0.76712,0.44276,0.91314,0.86566,0.81332,0.87551,0.70116,0.89444,0.578,0.97416,0.00586675,0.00586675,0.00586675
169,17565,0.76361,0.44429,0.91399,0.86495,0.81318,0.87579,0.70241,0.89392,0.57748,0.97411,0.005842,0.005842,0.005842
170,17666.1,0.76951,0.44739,0.91412,0.86406,0.81446,0.87572,0.70158,0.8934,0.57731,0.97404,0.00581725,0.00581725,0.00581725
171,17763.9,0.76958,0.44411,0.91495,0.86303,0.81538,0.87606,0.70262,0.89302,0.57713,0.97407,0.0057925,0.0057925,0.0057925
172,17860.7,0.76177,0.43972,0.91164,0.86306,0.81506,0.87596,0.70267,0.89248,0.57765,0.974,0.00576775,0.00576775,0.00576775
173,17956.6,0.75795,0.43699,0.91181,0.86282,0.81526,0.87568,0.70372,0.89187,0.57758,0.9738,0.005743,0.005743,0.005743
174,18053,0.76393,0.44294,0.9131,0.86284,0.81504,0.87526,0.70313,0.89161,0.57779,0.97391,0.00571825,0.00571825,0.00571825
175,18150.1,0.75987,0.44026,0.91088,0.86419,0.81581,0.87485,0.7035,0.8912,0.5777,0.97387,0.0056935,0.0056935,0.0056935
176,18248.3,0.75682,0.4399,0.91065,0.86432,0.81506,0.87481,0.70364,0.89082,0.57752,0.9737,0.00566875,0.00566875,0.00566875
177,18345.7,0.75241,0.43825,0.90847,0.8642,0.8153,0.87497,0.70403,0.89013,0.57766,0.9736,0.005644,0.005644,0.005644
178,18441,0.75654,0.43632,0.90926,0.86508,0.814,0.87466,0.70387,0.88966,0.57792,0.97345,0.00561925,0.00561925,0.00561925
179,18538.3,0.75783,0.43752,0.91152,0.86447,0.81394,0.87432,0.70323,0.88938,0.578,0.9734,0.0055945,0.0055945,0.0055945
180,18633.1,0.75721,0.43811,0.90892,0.8647,0.81419,0.87404,0.70277,0.88892,0.57806,0.97318,0.00556975,0.00556975,0.00556975
181,18732.2,0.74043,0.42437,0.90506,0.86513,0.81428,0.87399,0.70285,0.88862,0.57822,0.97305,0.005545,0.005545,0.005545
182,18828.9,0.75018,0.43075,0.90868,0.86462,0.81415,0.87407,0.70314,0.88831,0.57822,0.97302,0.00552025,0.00552025,0.00552025
